"ID_TERMIN","TERMIN","DATA_ID"
401,"3",2984
402,"1",3038
403,"2",2519
404,"3",110
405,"0",694
406,"0",3239
407,"3",456
408,"2",1084
409,"0",1280
410,"0",686
411,"1",1300
412,"1",3206
413,"1",109
414,"3",1582
415,"3",1374
416,"1",1052
417,"2",415
418,"3",588
419,"2",533
420,"3",2121
421,"0",3135
422,"2",1448
423,"2",432
424,"3",3490
425,"2",740
426,"3",1931
427,"1",3424
428,"3",1603
429,"0",2955
430,"3",3689
431,"3",691
432,"1",519
433,"3",2461
434,"1",2286
435,"2",2605
436,"0",1599
437,"2",1102
438,"0",3186
439,"0",638
440,"1",1687
441,"1",3177
442,"3",3047
443,"0",3009
444,"1",1878
445,"2",359
446,"2",1799
447,"0",1304
448,"2",1275
449,"2",1431
450,"0",232
451,"1",499
452,"0",1922
453,"1",2820
454,"3",2425
455,"3",1096
456,"3",3327
457,"2",324
458,"3",836
459,"2",873
460,"1",112
461,"0",2325
462,"2",1596
463,"2",1875
464,"0",221
465,"2",1120
466,"2",670
467,"3",2875
468,"3",3385
469,"1",3544
470,"0",3681
471,"1",2368
472,"1",287
473,"3",1865
474,"3",2024
475,"2",2862
476,"1",407
477,"0",2651
478,"2",2236
479,"3",2215
480,"0",80
481,"1",2781
482,"0",2660
483,"2",393
484,"2",2021
485,"3",1388
486,"2",3582
487,"0",3100
488,"1",3483
489,"1",1340
490,"3",549
491,"0",691
1,"2",778
2,"0",2366
3,"1",1844
4,"2",1628
5,"2",941
6,"1",1395
7,"2",2820
8,"0",2391
9,"2",839
10,"0",2830
11,"0",2726
12,"1",2514
13,"2",327
14,"2",610
15,"1",1301
16,"0",983
17,"1",1301
18,"3",1503
19,"2",2568
20,"2",55
21,"1",1926
22,"0",1641
23,"3",1725
24,"3",3471
25,"0",2373
26,"3",2835
27,"2",2095
28,"3",2870
29,"0",1562
30,"0",2057
31,"0",2721
32,"1",2155
33,"1",388
34,"0",3103
35,"3",2273
36,"3",585
37,"3",2144
38,"1",3573
39,"1",328
40,"0",2035
41,"1",3217
42,"0",3123
43,"0",567
44,"0",1242
45,"2",2599
46,"1",1038
47,"2",2153
48,"2",2004
49,"2",3083
50,"2",3219
51,"3",278
52,"3",452
53,"3",2350
54,"3",3385
55,"2",107
56,"3",167
57,"0",3615
58,"1",2321
59,"2",1924
60,"2",3506
61,"1",2035
62,"2",615
63,"1",1683
64,"0",3015
65,"1",285
66,"0",2559
67,"3",248
68,"0",2318
69,"0",2485
70,"1",3210
71,"0",473
72,"0",1998
73,"2",178
74,"1",2721
75,"1",872
76,"1",3
77,"1",402
78,"2",3190
79,"3",1394
80,"3",3271
81,"2",3630
82,"2",3336
83,"2",3308
84,"3",3211
85,"1",1033
86,"3",3660
87,"0",1846
88,"3",908
89,"0",1983
90,"0",102
91,"3",2841
92,"1",2720
93,"3",3080
94,"0",2416
95,"2",3402
96,"2",1784
97,"0",2932
98,"1",2048
99,"1",3558
100,"1",2158
101,"1",381
102,"0",900
103,"1",1238
104,"1",502
105,"0",3082
106,"2",70
107,"1",2410
108,"2",1022
109,"2",2984
110,"1",2809
111,"2",2063
112,"2",751
113,"3",1617
114,"0",2875
115,"1",2363
116,"0",1323
117,"3",3622
118,"3",932
119,"0",13
120,"1",3503
121,"0",2646
122,"2",611
123,"0",2816
124,"3",3408
125,"0",1015
126,"1",805
127,"2",1686
128,"2",3103
129,"3",1529
130,"3",2959
131,"0",94
132,"2",3207
133,"3",2568
134,"3",1905
135,"0",432
136,"3",2091
137,"3",2744
138,"3",3026
139,"2",541
140,"0",3370
141,"3",3513
142,"2",2328
143,"1",1009
144,"0",1437
145,"2",1986
146,"3",2927
147,"1",1123
148,"1",885
149,"1",1127
150,"0",94
151,"1",49
152,"0",3599
153,"1",1108
154,"0",1560
155,"1",374
156,"0",785
157,"1",3441
158,"1",2710
159,"0",102
160,"1",1516
161,"2",2686
162,"0",3167
163,"2",3182
164,"2",1737
165,"0",2598
166,"1",1793
167,"1",3110
168,"0",2206
169,"3",1725
170,"0",919
171,"0",2928
172,"3",72
173,"0",1844
174,"1",3571
175,"2",3144
176,"3",2032
177,"3",2417
178,"1",3170
179,"2",435
180,"1",3560
181,"2",9
182,"0",221
183,"0",2050
184,"3",3565
185,"0",536
186,"0",2804
187,"1",446
188,"0",1044
189,"1",1493
190,"1",386
191,"2",1579
192,"0",638
193,"1",2081
194,"2",14
195,"1",3271
196,"2",454
197,"2",134
198,"1",2197
199,"2",2329
200,"1",31
201,"0",537
202,"2",1395
203,"2",68
204,"1",1192
205,"1",1545
206,"2",2857
207,"3",1651
208,"3",1497
209,"2",1632
210,"1",2853
211,"2",2492
212,"2",1637
213,"1",1103
214,"2",3231
215,"2",1215
216,"2",216
217,"2",2419
218,"0",503
219,"3",3174
220,"0",825
221,"0",1796
222,"1",1002
223,"0",3684
224,"1",3366
225,"0",450
226,"1",348
227,"0",584
228,"3",2892
229,"3",1864
230,"1",1741
231,"1",1113
232,"0",2221
233,"2",1067
234,"2",2262
235,"2",2008
236,"0",681
237,"3",106
238,"2",106
239,"3",1715
240,"1",1688
241,"2",397
242,"0",2327
243,"2",334
244,"0",3692
245,"1",1271
246,"2",1412
247,"1",2713
248,"2",850
249,"2",1029
250,"2",2227
251,"0",2143
252,"0",2415
253,"2",3566
254,"3",2302
255,"1",930
256,"2",1236
257,"1",3042
258,"2",2027
259,"0",3682
260,"0",1499
261,"1",3134
262,"1",1417
263,"2",357
264,"2",2729
265,"2",3172
266,"3",1313
267,"2",333
268,"2",1548
269,"0",2357
270,"2",1112
271,"0",487
272,"3",1645
273,"2",1752
274,"1",1017
275,"1",2584
276,"1",3533
277,"0",2593
278,"1",3406
279,"1",3408
280,"2",2888
281,"2",637
282,"3",102
283,"1",1144
284,"0",3622
285,"3",3538
286,"2",3021
287,"2",1061
288,"2",2279
289,"3",721
290,"1",936
291,"3",436
292,"1",2308
293,"2",3414
294,"2",824
295,"3",3486
296,"2",1091
297,"0",2324
298,"1",3044
299,"3",499
300,"3",945
301,"0",3050
302,"3",2849
303,"2",2272
304,"3",1239
305,"2",242
306,"3",2427
307,"2",91
308,"2",551
309,"2",2254
310,"2",3019
311,"0",499
312,"0",1373
313,"0",60
314,"2",448
315,"0",2466
316,"3",3024
317,"2",2401
318,"3",2808
319,"2",2653
320,"0",3536
321,"0",2447
322,"3",3238
323,"1",2112
324,"0",1687
325,"1",1568
326,"1",1466
327,"3",1347
328,"2",1418
329,"2",298
330,"3",526
331,"0",2522
332,"1",1255
333,"0",3290
334,"3",597
335,"2",1502
336,"1",3542
337,"2",3147
338,"2",316
339,"2",582
340,"0",1706
341,"3",1022
342,"1",1291
343,"3",1651
344,"1",3487
345,"1",1777
346,"2",418
347,"2",797
348,"3",3483
349,"1",3034
350,"2",3630
351,"3",73
352,"1",638
353,"2",1371
354,"3",3043
355,"2",2083
356,"3",2468
357,"3",3693
358,"2",449
359,"3",198
360,"3",879
361,"3",2134
362,"2",832
363,"1",2593
364,"2",31
365,"1",3045
366,"3",742
367,"1",2768
368,"0",220
369,"1",1938
370,"3",1965
371,"2",3403
372,"0",1911
373,"3",3537
374,"3",3247
375,"3",1983
376,"2",239
377,"1",1789
378,"2",3068
379,"3",840
380,"1",3303
381,"3",79
382,"3",2992
383,"0",1513
384,"3",306
385,"2",2934
386,"0",2272
387,"2",752
388,"1",3402
389,"1",2445
390,"3",3243
391,"3",1748
392,"0",481
393,"1",714
394,"0",1146
395,"1",2648
396,"3",1304
397,"1",3483
398,"2",3633
399,"2",791
400,"0",2790
492,"2",2926
1948,"1",1561
1949,"1",1825
1950,"0",2021
1951,"1",905
1952,"0",117
1953,"1",3070
1954,"3",3493
1955,"3",2919
1956,"2",560
1957,"0",114
1958,"0",939
1959,"2",2145
1960,"1",3454
1961,"3",1778
1962,"2",240
1963,"1",3370
1964,"2",3502
1965,"2",1021
1966,"3",1943
1967,"3",284
1968,"3",3495
1969,"0",3387
1970,"2",3070
1971,"1",1358
1972,"2",860
1973,"0",3295
1974,"3",92
1975,"2",703
1976,"2",2890
1977,"2",2775
1978,"2",3010
1979,"2",505
1980,"2",2935
1981,"2",1432
1982,"0",2156
1983,"3",2256
1984,"0",1874
1985,"0",228
1986,"2",2687
1987,"0",2595
1988,"0",695
1989,"3",3637
1990,"3",1466
1991,"2",2983
1992,"2",3594
1993,"3",1345
1994,"3",1863
1995,"2",2289
1996,"2",3416
1997,"2",3398
1998,"3",2952
1999,"0",762
2000,"3",139
2001,"2",3100
2002,"2",3036
