"ID_ZALICZENIA","ID_PRZED","NR_ALBUMU","NR_WYKL","ID_SALA","OCENA","ID_TERMIN"
1,1,1183,9,15,4,8684
2,1,10266,64,3,4,2577
3,4,2150,73,8,3,4576
4,1,10937,3,11,3,2564
5,4,1825,62,8,4,7207
6,4,2478,7,3,5,9478
7,9,7506,74,12,5,6370
8,7,6680,5,3,2,4636
9,9,5044,87,13,4,2734
10,2,4067,35,2,5,656
11,5,1932,51,11,3,5436
12,5,9961,27,13,2,8163
13,1,5817,96,12,4,6498
14,4,5519,69,14,3,9530
15,8,6651,82,7,5,8803
16,2,6432,15,13,5,3907
17,7,9178,21,12,3,5957
18,6,2609,60,12,2,8152
19,3,6542,34,12,5,8296
20,6,1306,94,7,4,1437
21,7,1487,37,9,2,6143
22,10,6468,69,12,3,5750
23,1,6417,32,9,4,7092
24,1,8476,89,2,5,6044
25,1,1222,68,3,4,6421
26,6,6044,72,5,2,8035
27,2,4631,66,13,4,700
28,10,9385,42,11,5,5394
29,9,5208,31,11,5,6842
30,2,5782,21,15,3,3946
31,2,7792,43,4,2,460
32,1,4572,44,2,2,5749
34,3,4651,25,14,3,1611
35,10,9475,5,4,4,748
36,7,5113,67,10,4,1458
37,10,10792,65,4,2,1886
38,6,4412,31,7,5,8149
39,10,3891,24,13,5,5965
40,8,10414,19,13,4,5875
41,9,9578,53,7,3,4767
42,7,5542,44,11,2,6418
43,3,4604,1,2,5,7927
44,10,2278,28,3,2,4498
45,1,7137,31,1,5,8432
46,5,9662,8,3,5,4691
47,9,1525,44,15,2,9090
48,3,3411,37,4,3,9848
49,4,8601,13,14,4,8621
50,5,8980,63,6,5,8817
51,5,10975,74,4,4,5174
52,6,9330,27,6,3,8868
53,9,1704,41,11,4,8369
54,5,9682,77,6,2,9842
55,9,9683,5,8,4,7021
56,3,2810,53,8,2,2551
57,1,3100,28,12,2,490
58,8,3020,87,7,5,2764
59,4,8646,8,10,3,4313
60,5,8411,35,13,3,6703
61,3,6015,77,11,2,5611
62,2,8129,21,6,5,8928
63,4,9767,65,9,3,7813
64,1,6866,85,10,3,9356
65,6,2405,49,4,4,563
66,6,3383,66,14,5,502
67,2,6047,91,14,3,9026
68,4,9730,68,6,4,4363
69,3,9499,28,12,4,6019
70,6,2226,75,8,5,5643
71,10,5934,48,3,3,3159
72,2,10762,14,11,2,9057
73,2,1624,75,12,5,2607
74,2,1532,65,9,5,7519
75,2,3378,12,13,5,7208
77,1,1198,65,8,4,9182
78,2,3676,3,8,2,8041
79,4,5026,61,15,2,1814
80,2,7892,28,4,3,7498
81,5,4185,33,15,3,7134
82,2,10898,50,10,3,1838
83,3,4942,54,9,3,3949
84,1,4804,12,2,4,510
85,10,4909,36,12,2,3788
86,5,10328,49,8,4,5494
87,8,4384,24,5,5,1749
88,9,5565,99,14,2,2160
89,4,2843,89,2,5,4863
