"ID_TERMIN","TERMIN","DATA"
388,"2",06/12/17
389,"2",15/05/02
390,"2",08/11/16
391,"2",15/07/24
392,"3",11/10/09
393,"1",15/11/26
394,"0",11/09/13
395,"3",10/01/05
396,"2",13/12/02
397,"3",10/05/12
398,"1",06/05/09
399,"2",08/12/04
400,"2",15/01/27
401,"2",11/04/24
402,"2",10/11/03
403,"0",15/10/16
404,"1",14/07/25
405,"0",07/03/15
406,"2",06/12/23
407,"2",08/04/19
408,"3",06/07/17
409,"2",10/07/11
410,"3",07/09/05
411,"0",06/12/19
412,"3",08/04/22
413,"2",08/09/07
414,"3",15/10/02
415,"1",06/09/05
416,"1",09/11/27
417,"2",09/10/22
418,"3",07/03/20
419,"3",09/06/09
420,"2",13/09/03
421,"1",08/09/07
422,"1",06/12/25
423,"1",11/04/18
424,"1",06/10/11
425,"1",08/07/18
426,"0",11/08/19
427,"0",13/12/07
428,"0",10/02/19
429,"1",12/09/07
430,"2",11/05/13
431,"1",11/02/11
432,"1",11/07/27
433,"2",12/04/06
434,"3",15/12/07
435,"2",15/10/15
436,"0",14/08/04
437,"2",11/07/27
438,"1",15/10/13
439,"0",11/01/17
440,"3",10/07/07
441,"0",06/11/21
442,"1",06/04/20
443,"3",07/08/05
444,"1",12/03/14
445,"2",06/02/24
446,"0",12/10/17
447,"0",10/07/20
448,"1",13/01/09
449,"1",15/06/10
450,"3",14/12/20
451,"2",13/06/20
452,"2",15/06/20
453,"2",11/01/09
454,"1",08/02/21
455,"1",09/10/11
456,"3",14/06/17
457,"1",12/12/22
458,"2",06/11/04
459,"2",12/12/01
460,"0",07/06/03
461,"0",11/02/09
462,"0",08/05/04
463,"0",09/04/03
464,"1",12/09/12
465,"2",14/12/03
466,"1",14/01/13
467,"2",06/02/18
468,"0",15/06/08
469,"3",09/12/14
470,"1",10/09/27
471,"2",12/08/03
472,"3",07/07/20
473,"0",12/08/03
474,"0",15/04/26
475,"0",14/05/21
476,"2",09/02/12
477,"1",08/06/04
478,"3",09/02/02
479,"0",15/09/18
480,"1",09/04/24
481,"2",10/03/14
482,"0",10/01/21
483,"1",13/07/13
484,"3",13/04/01
485,"3",15/06/22
486,"2",12/09/21
487,"0",14/01/22
488,"2",14/11/16
489,"0",13/09/07
490,"2",09/10/03
491,"1",11/01/23
492,"1",11/05/19
493,"1",14/07/11
494,"1",07/06/18
495,"0",11/07/03
496,"1",14/12/21
497,"1",14/10/22
498,"0",06/03/07
499,"2",13/11/25
500,"3",08/04/23
501,"3",06/09/27
502,"0",12/12/14
503,"0",08/02/01
504,"3",14/04/27
505,"1",08/09/22
506,"1",10/03/01
507,"1",12/01/20
508,"1",14/02/09
509,"3",07/08/20
510,"2",08/11/21
511,"2",11/12/08
512,"2",06/11/04
513,"2",06/12/04
514,"2",06/11/12
515,"1",07/04/09
516,"0",06/10/15
517,"2",11/12/22
518,"0",11/04/24
519,"0",11/12/10
520,"1",12/04/15
521,"3",12/02/23
522,"2",10/03/14
523,"2",09/10/22
524,"1",11/01/15
525,"1",10/09/22
526,"0",07/11/23
527,"3",14/06/20
528,"3",12/11/06
529,"0",11/11/22
530,"1",07/10/27
531,"2",11/04/05
532,"1",08/06/14
533,"1",12/03/17
534,"1",08/11/12
535,"3",09/10/03
536,"2",12/02/10
537,"1",08/07/17
538,"1",09/08/03
539,"1",07/03/17
540,"0",08/11/14
541,"2",12/06/26
542,"3",06/01/06
543,"2",07/12/04
544,"0",12/02/13
545,"1",06/06/07
546,"2",15/10/07
547,"0",08/05/24
548,"0",07/12/01
549,"0",06/02/25
550,"3",07/12/11
551,"0",06/04/02
552,"1",15/01/06
553,"2",08/08/07
554,"0",13/11/12
555,"1",11/04/21
556,"0",06/10/04
557,"3",07/07/11
558,"3",13/01/16
559,"1",07/10/02
560,"2",11/07/23
561,"3",12/01/10
562,"2",14/12/13
563,"3",11/06/07
564,"1",09/05/24
565,"1",10/09/02
566,"2",13/03/08
567,"3",06/02/21
568,"0",08/03/23
569,"2",07/10/14
570,"0",09/05/22
571,"2",09/09/24
572,"1",10/12/07
573,"3",09/04/01
574,"2",15/07/11
575,"0",07/12/22
576,"0",14/06/26
577,"1",06/05/22
578,"1",12/05/18
579,"0",11/11/13
580,"3",14/07/18
581,"1",11/04/19
582,"3",13/08/02
583,"1",15/08/27
584,"1",11/12/19
585,"3",14/03/02
586,"1",07/01/07
587,"1",08/06/12
588,"1",07/07/04
589,"0",08/01/08
590,"3",12/11/06
591,"1",15/02/06
592,"0",12/03/09
593,"3",08/12/21
594,"2",09/08/04
595,"1",07/12/03
596,"2",12/12/13
597,"1",12/04/12
598,"1",08/03/19
599,"1",15/10/24
600,"1",11/06/20
601,"1",10/08/07
602,"2",10/02/12
603,"0",11/11/26
604,"0",12/05/06
605,"0",15/03/10
606,"1",14/01/21
607,"3",09/04/09
608,"1",12/07/18
609,"1",09/08/06
610,"1",08/12/21
611,"1",11/10/11
612,"0",13/07/23
613,"3",13/03/07
614,"2",06/05/18
615,"0",13/08/12
616,"0",09/02/10
617,"1",10/02/18
618,"2",13/06/03
619,"1",06/12/25
620,"2",07/01/09
621,"1",13/12/16
622,"1",14/10/23
623,"3",15/02/09
624,"1",06/12/22
625,"3",14/03/26
626,"3",07/07/08
627,"0",12/11/09
628,"0",09/04/11
629,"2",15/11/25
630,"1",14/12/18
631,"2",11/11/17
632,"2",06/05/17
633,"0",06/04/03
634,"0",10/08/13
635,"1",10/06/08
636,"3",15/03/10
637,"3",14/02/23
638,"1",11/12/16
639,"0",08/05/19
640,"0",11/08/24
641,"1",10/03/25
642,"1",12/01/17
643,"2",09/08/14
644,"2",13/11/24
645,"0",07/07/03
646,"1",07/02/09
647,"1",08/09/25
648,"0",07/01/21
649,"1",07/01/19
650,"1",14/08/08
651,"0",08/11/06
652,"0",13/07/10
653,"3",07/08/09
654,"2",09/09/24
655,"1",10/03/09
656,"2",14/10/09
657,"3",09/07/08
658,"3",10/08/06
659,"0",06/06/09
660,"1",09/08/18
661,"0",11/07/07
662,"0",11/10/07
663,"2",07/04/17
664,"2",06/08/17
665,"0",06/07/21
666,"2",06/07/11
667,"1",13/05/23
668,"2",09/10/01
669,"0",07/10/21
670,"3",07/12/20
671,"0",10/06/12
672,"1",10/09/06
673,"0",08/07/04
674,"3",15/05/19
675,"3",12/08/16
676,"3",10/04/03
677,"2",12/11/26
678,"0",06/03/26
679,"3",14/11/22
680,"1",08/09/09
681,"0",07/10/04
682,"0",14/11/14
683,"2",14/07/27
684,"3",14/10/10
685,"3",07/08/06
686,"3",12/01/08
687,"1",10/01/03
688,"2",08/03/22
689,"3",06/11/20
690,"2",13/01/10
691,"1",14/10/07
692,"1",09/05/01
693,"3",09/03/21
694,"2",15/03/25
695,"0",06/10/24
696,"3",08/04/01
697,"1",11/08/19
698,"3",07/06/22
699,"0",09/05/20
700,"0",15/01/11
701,"3",07/02/13
702,"0",13/04/10
703,"0",07/12/08
704,"0",10/03/11
705,"3",13/11/18
706,"2",14/02/10
707,"3",06/08/10
708,"0",10/09/06
709,"3",13/03/21
710,"0",08/06/09
711,"2",14/09/05
712,"2",08/05/22
713,"0",15/02/18
714,"1",06/10/23
715,"2",15/07/23
716,"3",11/05/17
717,"1",14/09/05
718,"3",12/09/08
719,"3",11/07/19
720,"2",07/10/02
721,"0",15/08/04
722,"3",14/06/19
723,"0",11/02/13
724,"1",08/06/16
725,"3",07/08/03
726,"2",07/06/01
727,"1",06/08/12
728,"2",15/04/14
729,"2",10/01/06
730,"3",10/01/18
731,"0",07/09/04
732,"3",13/04/22
733,"3",15/11/17
734,"3",06/08/25
735,"1",10/07/26
736,"2",14/02/11
737,"2",10/12/08
738,"0",07/12/12
739,"2",11/08/03
740,"1",10/02/13
741,"1",15/04/15
742,"1",07/08/18
743,"1",09/11/02
744,"1",08/06/06
745,"0",09/03/12
746,"0",06/06/12
747,"1",15/08/07
748,"3",07/09/11
749,"3",07/02/23
750,"3",14/10/13
751,"0",08/06/23
752,"1",13/04/12
753,"3",14/09/05
754,"2",14/12/17
755,"2",06/03/25
756,"0",14/08/15
757,"3",14/05/21
758,"1",07/09/04
759,"1",06/07/13
760,"3",10/05/06
761,"0",06/02/13
762,"1",06/05/05
763,"2",06/06/15
764,"3",06/12/02
765,"2",12/01/26
766,"1",06/09/03
767,"1",09/09/16
768,"2",09/09/06
769,"2",11/06/02
770,"0",10/10/12
1535,"3",06/05/12
1536,"3",14/04/23
1537,"1",12/06/09
1538,"3",06/10/05
1539,"0",06/06/08
